tree_id,boxlabel,species,robinia,precipitation,culture,metric,value
544,b3-p5-c4,quercus,with robinia,control,mono,Shoot biomass (g),26.1
544,b3-p5-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.3065134099616862
370,b2-p6-c3,quercus,with robinia,drought,mixed,Root biomass (g),22.5
370,b2-p6-c3,quercus,with robinia,drought,mixed,Shoot biomass (g),22
370,b2-p6-c3,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.0227272727272727
371,b2-p6-c3,quercus,with robinia,drought,mixed,Root biomass (g),12
371,b2-p6-c3,quercus,with robinia,drought,mixed,Shoot biomass (g),8.9
371,b2-p6-c3,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.348314606741573
374,b2-p6-c3,quercus,with robinia,drought,mixed,Root biomass (g),12
374,b2-p6-c3,quercus,with robinia,drought,mixed,Shoot biomass (g),8.4
374,b2-p6-c3,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.4285714285714286
375,b2-p6-c3,quercus,with robinia,drought,mixed,Root biomass (g),25.7
375,b2-p6-c3,quercus,with robinia,drought,mixed,Shoot biomass (g),9.9
375,b2-p6-c3,quercus,with robinia,drought,mixed,Root:shoot biomass (-),2.5959595959595956
426,b3-p2-c2,quercus,with robinia,drought,mixed,Root biomass (g),13.400000000000002
426,b3-p2-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),12.3
426,b3-p2-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.0894308943089432
427,b3-p2-c2,quercus,with robinia,drought,mixed,Root biomass (g),26.8
427,b3-p2-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),36.80000000000001
427,b3-p2-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),0.7282608695652172
430,b3-p2-c2,quercus,with robinia,drought,mixed,Root biomass (g),21.2
430,b3-p2-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),11.200000000000001
430,b3-p2-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.8928571428571426
431,b3-p2-c2,quercus,with robinia,drought,mixed,Root biomass (g),22.8
431,b3-p2-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),23.699999999999996
431,b3-p2-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),0.9620253164556964
313,b2-p4-c4,quercus,with robinia,drought,mono,Root biomass (g),9.100000000000001
313,b2-p4-c4,quercus,with robinia,drought,mono,Shoot biomass (g),9.000000000000002
313,b2-p4-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.011111111111111
316,b2-p4-c4,quercus,with robinia,drought,mono,Root biomass (g),5.699999999999998
316,b2-p4-c4,quercus,with robinia,drought,mono,Shoot biomass (g),6.1
316,b2-p4-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.9344262295081965
317,b2-p4-c4,quercus,with robinia,drought,mono,Root biomass (g),20.9
317,b2-p4-c4,quercus,with robinia,drought,mono,Shoot biomass (g),22
317,b2-p4-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.95
320,b2-p4-c4,quercus,with robinia,drought,mono,Root biomass (g),38.2
320,b2-p4-c4,quercus,with robinia,drought,mono,Shoot biomass (g),29.6
320,b2-p4-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.2905405405405406
441,b3-p2-c4,quercus,with robinia,drought,mono,Root biomass (g),14.100000000000001
441,b3-p2-c4,quercus,with robinia,drought,mono,Shoot biomass (g),15.200000000000001
441,b3-p2-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.9276315789473685
444,b3-p2-c4,quercus,with robinia,drought,mono,Root biomass (g),4.799999999999999
444,b3-p2-c4,quercus,with robinia,drought,mono,Shoot biomass (g),5.9
444,b3-p2-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.813559322033898
445,b3-p2-c4,quercus,with robinia,drought,mono,Root biomass (g),5.899999999999999
445,b3-p2-c4,quercus,with robinia,drought,mono,Shoot biomass (g),2.599999999999999
445,b3-p2-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),2.269230769230769
448,b3-p2-c4,quercus,with robinia,drought,mono,Root biomass (g),28.400000000000002
448,b3-p2-c4,quercus,with robinia,drought,mono,Shoot biomass (g),16.5
448,b3-p2-c4,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.7212121212121214
242,b2-p2-c3,quercus,without robinia,control,mixed,Root biomass (g),33.60000000000001
242,b2-p2-c3,quercus,without robinia,control,mixed,Shoot biomass (g),48.5
242,b2-p2-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.6927835051546394
243,b2-p2-c3,quercus,without robinia,control,mixed,Root biomass (g),36.5
243,b2-p2-c3,quercus,without robinia,control,mixed,Shoot biomass (g),45.4
243,b2-p2-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.8039647577092511
246,b2-p2-c3,quercus,without robinia,control,mixed,Root biomass (g),15.100000000000001
246,b2-p2-c3,quercus,without robinia,control,mixed,Shoot biomass (g),13.000000000000002
246,b2-p2-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),1.1615384615384614
247,b2-p2-c3,quercus,without robinia,control,mixed,Root biomass (g),14.2
247,b2-p2-c3,quercus,without robinia,control,mixed,Shoot biomass (g),19.6
247,b2-p2-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.7244897959183673
546,b3-p6-c1,quercus,without robinia,control,mixed,Root biomass (g),30.2
546,b3-p6-c1,quercus,without robinia,control,mixed,Shoot biomass (g),42.5
546,b3-p6-c1,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.7105882352941176
547,b3-p6-c1,quercus,without robinia,control,mixed,Root biomass (g),34.80000000000001
547,b3-p6-c1,quercus,without robinia,control,mixed,Shoot biomass (g),68.30000000000001
547,b3-p6-c1,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.5095168374816985
550,b3-p6-c1,quercus,without robinia,control,mixed,Root biomass (g),14.8
550,b3-p6-c1,quercus,without robinia,control,mixed,Shoot biomass (g),17
550,b3-p6-c1,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.8705882352941177
551,b3-p6-c1,quercus,without robinia,control,mixed,Root biomass (g),70.8
551,b3-p6-c1,quercus,without robinia,control,mixed,Shoot biomass (g),70.60000000000001
551,b3-p6-c1,quercus,without robinia,control,mixed,Root:shoot biomass (-),1.0028328611898016
281,b2-p3-c4,quercus,without robinia,control,mono,Root biomass (g),14.900000000000002
281,b2-p3-c4,quercus,without robinia,control,mono,Shoot biomass (g),19.799999999999994
281,b2-p3-c4,quercus,without robinia,control,mono,Root:shoot biomass (-),0.7525252525252529
284,b2-p3-c4,quercus,without robinia,control,mono,Root biomass (g),49.7
284,b2-p3-c4,quercus,without robinia,control,mono,Shoot biomass (g),70.30000000000001
284,b2-p3-c4,quercus,without robinia,control,mono,Root:shoot biomass (-),0.7069701280227595
285,b2-p3-c4,quercus,without robinia,control,mono,Root biomass (g),27.8
285,b2-p3-c4,quercus,without robinia,control,mono,Shoot biomass (g),43.4
285,b2-p3-c4,quercus,without robinia,control,mono,Root:shoot biomass (-),0.6405529953917051
288,b2-p3-c4,quercus,without robinia,control,mono,Root biomass (g),66.10000000000001
288,b2-p3-c4,quercus,without robinia,control,mono,Shoot biomass (g),77.9
288,b2-p3-c4,quercus,without robinia,control,mono,Root:shoot biomass (-),0.8485237483953787
569,b3-p6-c4,quercus,without robinia,control,mono,Root biomass (g),11.100000000000001
569,b3-p6-c4,quercus,without robinia,control,mono,Shoot biomass (g),16.700000000000003
569,b3-p6-c4,quercus,without robinia,control,mono,Root:shoot biomass (-),0.6646706586826348
